原文: 第三章  骚灵  positive_prob: 0.689229  confidence: 0.309398  negative_prob: 0.310771  sentiment: 2.000000  
 原文:     1  positive_prob: 0.458396  confidence: 0.167930  negative_prob: 0.541604  sentiment: 1.000000  
 原文:     早报没什么好看的，草薙俊介一边用吸管喝着纸质包装牛奶，一边浏览体育版。他所支持的“读卖巨人队”，在第9回合被对手翻了盘。他扭曲着脸，合上了报纸，随后把手伸进睡衣，咔咔地挠起了腰群。5月的阳光照在桌面上，上面放着吃完后的方便面盒。自打黄金周以来，天气一直很晴朗草薙“哧哧”把牛奶吸完，把空纸盒扔进了旁边的垃圾篓里。用藤条编成的垃圾篓本来就已经是满满的了，他这么一扔，反倒有一些垃圾溢了出来。尽是些吃过后的从便利店买来的空便当盒、三明治的包装纸等。他几乎从不自己做饭，垃圾篓里基本上都是这种方便食品留下的垃圾。  positive_prob: 0.005020  confidence: 0.988845  negative_prob: 0.994980  sentiment: 0.000000  
 原文:     他漫不经心地捡着垃圾，顺便把自己一室一厨的房间环视了一周——被子没有叠，地板上除了过道根本没有立足之地。他不禁感叹：这样的话，即使以后有了女朋友，也不敢把她带回来啊。  positive_prob: 0.009910  confidence: 0.977978  negative_prob: 0.990090  sentiment: 0.000000  
 原文:     他犹豫着，要不要清扫一下，刚起身电话啊了。他从堆积如山的周刊杂志中找到了无线电话分机。  positive_prob: 0.854790  confidence: 0.677312  negative_prob: 0.145210  sentiment: 2.000000  
 原文:     是森下百合打来的，她是草薙的亲姐姐。  positive_prob: 0.630218  confidence: 0.178262  negative_prob: 0.369782  sentiment: 2.000000  
 原文:     “怎么是你啊？老姐。”  positive_prob: 0.209069  confidence: 0.535403  negative_prob: 0.790931  sentiment: 0.000000  
 原文:     “你别不耐烦，要不是有事，我才不想给你打电话呢，这是没办法才打的。”百合滔滔不绝地说。草薙从小就在她的伶牙俐齿前甘拜下风。  positive_prob: 0.028771  confidence: 0.936064  negative_prob: 0.971229  sentiment: 0.000000  
 原文:     “知道了，你说是什么事吧。”  positive_prob: 0.247510  confidence: 0.449978  negative_prob: 0.752490  sentiment: 0.000000  
 原文:     “你今天不上班吧？”  positive_prob: 0.139409  confidence: 0.690202  negative_prob: 0.860591  sentiment: 0.000000  
 原文:     “厉害，你怎么知道的？”  positive_prob: 0.229911  confidence: 0.489088  negative_prob: 0.770090  sentiment: 0.000000  
 原文:     “妈告诉我的。”  positive_prob: 0.331758  confidence: 0.262759  negative_prob: 0.668242  sentiment: 0.000000  
